N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
129,현대로템,"25,100",400,+1.62%,"5,000","27,395","109,142",4.18,"2,586,580",80.71,2.84,
130,휠라홀딩스,"44,850","1,050",-2.29%,"1,000","27,247","60,752",47.50,"278,047",11.31,10.94,
131,BNK금융지주,"8,300",180,+2.22%,"5,000","27,053","325,935",39.58,"1,272,699",4.00,6.11,
132,한화,"35,450",800,+2.31%,"5,000","26,573","74,959",19.07,"478,035",6.81,4.79,
133,DL이앤씨,"137,000","1,000",-0.72%,"5,000","26,521","19,359",26.62,"67,818",N/A,N/A,
134,일진하이솔루스,"72,600","2,100",-2.81%,500,"26,363","36,313",4.10,"218,798",135.45,34.27,
135,신세계,"265,000","7,000",-2.57%,"5,000","26,090","9,845",27.61,"46,466",32.34,-2.81,
136,한화에어로스페이스,"51,000",600,-1.16%,"5,000","25,821","50,630",19.36,"284,230",9.86,4.78,
137,제일기획,"22,000",50,-0.23%,200,"25,309","115,041",32.91,"228,629",13.54,16.11,
138,효성,"119,000","3,500",-2.86%,"5,000","25,075","21,071",9.36,"65,880",16.24,-2.26,
139,DB하이텍,"56,400",300,-0.53%,"5,000","25,041","44,399",16.43,"256,402",14.99,23.07,
140,현대차우,"99,100",400,-0.40%,"5,000","24,137","24,357",59.03,"29,204",7.18,N/A,
141,롯데정밀화학,"92,800",200,-0.22%,"5,000","23,942","25,800",21.30,"261,463",9.76,12.65,
142,하이트진로,"33,350",50,-0.15%,"5,000","23,390","70,134",4.61,"159,746",33.38,8.23,
143,TIGER 200,"41,125",125,+0.30%,0,"22,783","55,400",0.00,"782,537",N/A,N/A,
144,현대해상,"25,300",300,+1.20%,500,"22,618","89,400",27.12,"237,034",5.86,7.13,
145,솔루스첨단소재,"72,000","4,400",+6.51%,100,"22,025","30,590",8.08,"884,592",-187.50,-5.10,
146,현대위아,"80,900","1,100",-1.34%,"5,000","22,001","27,195",8.48,"156,393",21.65,1.96,
147,대한전선,"2,500",25,-0.99%,500,"21,412","856,473",1.87,"7,280,505",-131.58,0.92,
148,TIGER 차이나전기차SOLACTIVE,"17,275",230,-1.31%,0,"21,345","123,560",0.51,"9,595,259",N/A,N/A,
149,LS,"65,300",800,-1.21%,"5,000","21,027","32,200",14.25,"86,065",8.47,3.94,
150,현대엘리베이,"50,200","1,400",+2.87%,"5,000","20,489","40,815",27.08,"775,308",21.26,9.78,
151,KODEX 200선물인버스2X,"2,080",15,-0.72%,0,"20,511","986,100",4.29,"129,807,976",N/A,N/A,
152,아시아나항공,"27,450",350,-1.26%,"5,000","20,426","74,412",9.81,"1,543,219",-29.84,-43.83,
153,LS ELECTRIC,"68,000",400,+0.59%,"5,000","20,400","30,000",17.95,"57,101",22.24,6.15,
154,후성,"21,900","2,500",+12.89%,500,"20,281","92,607",5.76,"18,835,500",202.78,2.79,
155,KODEX 단기채권,"102,920",0,0.00%,0,"20,035","19,467",0.00,"20,066",N/A,N/A,
156,영원무역,"44,900",200,+0.45%,500,"19,896","44,311",27.84,"119,629",10.62,8.03,
157,대웅,"33,800",500,-1.46%,500,"19,652","58,142",3.83,"66,505",20.90,15.10,
158,현대백화점,"82,000",400,-0.49%,"5,000","19,190","23,402",19.21,"43,164",14.81,1.65,
159,한전기술,"49,400",650,+1.33%,200,"18,881","38,220",2.71,"220,399",91.31,N/A,
160,프레스티지바이오파마,"31,400",550,-1.72%,0,"18,870","60,096",63.82,"359,657",-221.13,-1.78,
161,오뚜기,"503,000","1,000",+0.20%,"5,000","18,470","3,672",12.57,"2,210",21.04,7.93,
162,HDC현대산업개발,"27,800",200,-0.71%,"5,000","18,322","65,907",10.65,"193,674",9.93,8.85,
163,동국제강,"18,800",100,+0.53%,"5,000","17,941","95,433",23.20,"646,646",6.12,3.35,
164,농심,"288,000","1,500",-0.52%,"5,000","17,518","6,083",13.56,"7,887",15.81,7.50,
165,PI첨단소재,"59,400",600,-1.00%,500,"17,444","29,366",18.10,"83,565",31.95,15.62,
166,대웅제약,"150,000","1,500",-0.99%,"2,500","17,380","11,587",6.93,"29,137",585.94,2.38,
167,한전KPS,"38,300",50,+0.13%,200,"17,235","45,000",8.86,"78,235",17.64,8.23,
168,동원시스템즈,"65,200",600,-0.91%,"5,000","16,703","25,619",1.60,"57,277",30.99,10.97,
169,금호타이어,"5,800",20,-0.34%,"5,000","16,661","287,260",4.14,"202,501",78.38,-6.74,
170,JB금융지주,"8,440",70,+0.84%,"5,000","16,625","196,983",40.52,"245,312",3.66,10.06,
171,KODEX 레버리지,"25,630",140,+0.55%,0,"16,301","63,600",2.49,"11,830,356",N/A,N/A,
172,한미반도체,"32,900",500,+1.54%,200,"16,272","49,460",6.36,"439,973",21.93,21.03,
173,두산,"98,300","1,300",+1.34%,"5,000","16,243","16,524",11.56,"39,949",-160.88,-34.34,
174,DGB금융지주,"9,420",50,+0.53%,"5,000","15,934","169,146",49.79,"439,477",3.74,6.93,
175,한국앤컴퍼니,"16,300",0,0.00%,500,"15,474","94,935",9.75,"72,953",6.24,5.08,
176,코스모신소재,"51,400","1,700",+3.42%,"1,000","15,465","30,087",8.01,"1,243,173",81.46,7.16,
177,진원생명과학,"34,150",600,-1.73%,"1,000","15,440","45,212",13.01,"580,636",-71.59,-30.43,
178,롯데렌탈,"41,850","1,050",-2.45%,"5,000","15,331","36,634",0.85,"233,588",21.36,6.73,
179,녹십자홀딩스,"32,400",450,+1.41%,500,"15,237","47,028",5.39,"46,019",9.99,19.74,
180,대한유화,"232,500","1,000",+0.43%,"5,000","15,112","6,500",13.62,"47,715",6.50,6.93,
181,SK가스,"163,000","1,000",+0.62%,"5,000","15,045","9,230",6.87,"41,689",6.08,14.91,
182,KODEX 삼성그룹,"10,290",50,+0.49%,0,"14,962","145,400",0.16,"747,522",N/A,N/A,
183,부광약품,"21,000",550,+2.69%,500,"14,923","71,063",4.49,"1,692,529",-132.91,-2.46,
184,코스맥스,"131,000","2,500",-1.87%,500,"14,868","11,350",24.49,"86,356",30.35,6.23,
185,명신산업,"28,300",850,+3.10%,500,"14,849","52,470",2.15,"525,615",-12.27,-67.39,
186,DL,"70,600",100,+0.14%,"5,000","14,795","20,956",14.70,"47,048",2.28,11.84,
187,TIGER 단기통안채,"100,325",0,0.00%,0,"14,783","14,735",0.80,"2,421",N/A,N/A,
188,솔루엠,"29,500",300,+1.03%,500,"14,752","50,006",8.67,"407,613",36.92,43.26,
189,F&F홀딩스,"37,700",850,-2.20%,500,"14,746","39,114",0.61,"142,568",0.28,16.59,
190,아이에스동서,"47,650","1,000",-2.06%,500,"14,720","30,893",4.43,"70,586",13.59,10.92,
191,KODEX 단기채권PLUS,"103,235",10,+0.01%,0,"14,598","14,141",0.00,"1,227,254",N/A,N/A,
192,롯데관광개발,"21,000",0,0.00%,500,"14,548","69,276",6.72,"581,348",-9.30,-30.43,
193,신세계인터내셔날,"198,500","2,500",+1.28%,"5,000","14,173","7,140",5.14,"9,546",19.55,8.24,
194,KODEX 종합채권(AA-이상)액티브,"108,720",120,-0.11%,0,"14,048","12,921",0.00,"2,897",N/A,N/A,
195,NHN,"71,300","2,500",+3.63%,500,"13,950","19,565",12.08,"52,898",63.66,1.35,
196,LG생활건강우,"660,000","1,000",+0.15%,"5,000","13,858","2,100",84.34,"1,162",13.86,N/A,
197,종근당,"121,000",500,-0.41%,"2,500","13,826","11,426",7.96,"14,268",16.24,17.88,
198,롯데칠성,"148,500",500,-0.34%,500,"13,779","9,279",8.36,"9,992",60.49,-1.00,
199,KG동부제철,"13,750",100,-0.72%,"5,000","13,751","100,009",1.33,"140,108",11.24,7.18,
200,에스엘,"28,450",750,+2.71%,500,"13,714","48,203",17.01,"99,141",9.00,4.74,
